"","Player","Team","Year","age","g","mp_per_game","x3pa","x3ppercent","efgpercent","ftpercent","ast","tov","pf","per","ftr","drbpercent","stlpercent","blkpercent","tovpercent","usgpercent","dws","dbpm","vorp","Age","ORtg","FTr","eFG.","ORB.","FT.FGA","G","MP","FGA","X3P.","FT.","DRB","TRB","AST","STL","BLK","TOV","pos","EWING"
"1","Eddie Johnson","ATL",1982,26,68,34,0.4,0.233,0.454,0.764,5.3,2.7,2.8,16.5,0.381,0.063,0.022,0.004,0.136,0.256,2.6,-0.5,1.7,26.5,105.1,0.352,0.473,0.322,0.282,82,242.4,82.6,0.219,0.768,28.9,42.7,22.1,7.4,5.9,16.4,"SG","1"
"2","Eddie Johnson","ATL",1983,27,61,29.7,0.7,0.341,0.462,0.785,5.2,2.6,2.3,16,0.276,0.057,0.016,0.002,0.139,0.257,1.5,-2.2,0.3,26.6,102.2,0.295,0.473,0.307,0.223,82,241.2,87.1,0.239,0.751,29.7,43.6,23.7,7,8.1,17.4,"SG","0"
"3","Eddie Johnson","ATL",1984,28,67,28.3,0.6,0.372,0.452,0.77,5.6,2.6,2.3,14.2,0.267,0.07,0.015,0.002,0.162,0.243,1.4,-2,-0.1,26.6,105.5,0.355,0.482,0.316,0.268,82,242.1,83,0.217,0.761,27.2,40.8,22.3,7.6,6.8,16.2,"SG","0"
"4","Dan Roundfield","ATL",1984,30,73,35.8,0.2,0,0.485,0.77,2.5,2.8,3,18.9,0.468,0.229,0.012,0.017,0.141,0.241,3.6,1.1,2.7,26.6,105.5,0.355,0.482,0.316,0.268,82,242.1,83,0.217,0.761,27.2,40.8,22.3,7.6,6.8,16.2,"PF","0"
"5","Eddie Johnson","ATL",1985,29,73,32.4,1,0.306,0.49,0.798,7.8,3.3,2.5,15.8,0.351,0.07,0.009,0.002,0.183,0.233,1.4,-2.5,0.4,25.5,105.9,0.333,0.485,0.325,0.249,82,242.1,86.8,0.311,0.752,28.6,42.8,24.5,8.1,6.6,18,"SG","1"
"6","Reggie Theus","ATL",1989,31,82,30.7,0.7,0.293,0.474,0.851,4.7,2.4,2.9,16.1,0.314,0.069,0.021,0.004,0.138,0.228,2,-0.9,1.8,28.5,112.2,0.375,0.482,0.371,0.256,82,241.5,88.2,0.277,0.8,28.2,45,24.3,10,5.8,16,"SG","0"
"7","Dominique Wilkins","ATL",1994,34,49,34.4,4,0.308,0.462,0.854,2.3,2.4,1.8,21.1,0.323,0.122,0.019,0.008,0.095,0.32,2.3,-1.5,1.4,28.7,107.2,0.294,0.475,0.346,0.185,82,240.9,85.8,0.323,0.752,29.5,44.8,25.1,11.2,5.5,15.3,"SF","0"
"8","Danny Manning","ATL",1994,27,26,35.6,0.1,0.333,0.477,0.651,3.3,3.3,3.6,13.8,0.223,0.143,0.025,0.018,0.174,0.23,1.6,2.1,0.5,28.7,107.2,0.294,0.475,0.346,0.185,82,240.9,85.8,0.323,0.752,29.5,44.8,25.1,11.2,5.5,15.3,"PF","0"
"9","Steve Smith","ATL",1995,25,78,33.4,5.2,0.334,0.496,0.845,3.4,1.9,2.8,16.1,0.358,0.078,0.012,0.009,0.118,0.223,2.4,-1.2,2.2,28.2,106.6,0.292,0.495,0.316,0.215,82,242.1,81.5,0.341,0.724,27.7,41.2,21.4,9,5,14.9,"SG","1"
"10","Kevin Willis","ATL",1995,32,2,44.5,0.5,0,0.39,0.667,1.5,3.5,3.5,15.2,0.366,0.349,0.006,0.025,0.128,0.278,0.2,-1.8,-0.2,28.2,106.6,0.292,0.495,0.316,0.215,82,242.1,81.5,0.341,0.724,27.7,41.2,21.4,9,5,14.9,"PF","1"
"11","Grant Long","ATL",1995,28,79,32.6,0.4,0.355,0.487,0.756,1.6,1.9,2.9,14.6,0.447,0.188,0.022,0.01,0.152,0.175,4.2,1.8,1.5,28.2,106.6,0.292,0.495,0.316,0.215,82,242.1,81.5,0.341,0.724,27.7,41.2,21.4,9,5,14.9,"PF","1"
"12","Christian Laettner","ATL",1996,26,30,32.6,0.3,0,0.489,0.823,2.3,2.5,4,17.2,0.4,0.189,0.017,0.022,0.164,0.21,1.2,1.1,0.7,28.1,109.4,0.302,0.512,0.34,0.217,82,240.6,81.3,0.355,0.757,26.2,40.6,19.6,9.4,3.9,15,"C","1"
"13","Grant Long","ATL",1996,29,82,36.7,1,0.36,0.49,0.763,2.2,1.9,2.8,16.2,0.402,0.221,0.019,0.009,0.137,0.171,3.8,1.3,2.7,28.1,109.4,0.302,0.512,0.34,0.217,82,240.6,81.3,0.355,0.757,26.2,40.6,19.6,9.4,3.9,15,"PF","1"
"14","Christian Laettner","ATL",1998,28,74,30.8,0.4,0.222,0.489,0.864,2.6,2.5,3.3,18.5,0.485,0.172,0.017,0.022,0.171,0.217,3,1.3,2.6,29.4,108.2,0.364,0.468,0.339,0.194,82,242.4,77.5,0.332,0.756,29.5,43,19.1,8,6,14.8,"PF","1"
"15","Grant Long","ATL",1999,32,50,27.6,0.4,0.167,0.425,0.783,1.1,1.5,2.9,15.6,0.655,0.165,0.023,0.009,0.138,0.183,2.6,2,1.4,29.6,100.5,0.378,0.437,0.331,0.202,50,241.5,75.2,0.306,0.731,30,43.5,15.6,6.9,5.2,14.9,"PF","0"
"16","Mookie Blaylock","ATL",1999,31,48,36.7,5.2,0.307,0.439,0.758,5.8,2.4,1.3,16.7,0.14,0.118,0.032,0.004,0.143,0.215,3.2,2,3.1,29.6,100.5,0.378,0.437,0.331,0.202,50,241.5,75.2,0.306,0.731,30,43.5,15.6,6.9,5.2,14.9,"PG","0"
"17","Steve Smith","ATL",1999,29,36,36.5,3.9,0.338,0.445,0.849,3.3,2.8,2.8,17.9,0.417,0.089,0.015,0.006,0.134,0.264,1.7,-0.2,1.7,29.6,100.5,0.378,0.437,0.331,0.202,50,241.5,75.2,0.306,0.731,30,43.5,15.6,6.9,5.2,14.9,"SG","0"
"18","Dikembe Mutombo","ATL",2001,34,49,35,0,0,0.477,0.695,1.1,1.9,2.8,16.5,0.435,0.33,0.006,0.057,0.179,0.134,3,3.4,1.3,26.1,98.7,0.272,0.472,0.289,0.249,82,240.6,81.3,0.357,0.759,30.4,42.9,19,7.7,4.7,16.7,"C","1"
"19","Rasheed Wallace","ATL",2004,29,1,42,6,0.167,0.354,1,2,3,0,13.7,0.125,0.133,0.013,0.088,0.106,0.307,0,-0.3,0,26.2,101,0.303,0.476,0.286,0.234,82,242.7,79.6,0.335,0.776,30.6,42.7,20.1,7.6,5,16.5,"PF","0"
"20","Jason Terry","ATL",2004,26,81,37.3,5.2,0.347,0.478,0.827,5.4,2.8,2.4,16.2,0.217,0.106,0.022,0.004,0.149,0.232,1.5,-1.5,2.2,26.2,101,0.303,0.476,0.286,0.234,82,242.7,79.6,0.335,0.776,30.6,42.7,20.1,7.6,5,16.5,"PG","0"
"21","Shareef Abdur-Rahim","ATL",2004,27,53,36.9,0.4,0.217,0.488,0.88,2.4,2.5,2.8,21.2,0.423,0.203,0.012,0.007,0.123,0.248,1.3,-1.1,1.5,26.2,101,0.303,0.476,0.286,0.234,82,242.7,79.6,0.335,0.776,30.6,42.7,20.1,7.6,5,16.5,"PF","0"
"22","Tom Gugliotta","ATL",2005,35,27,27.7,1,0.308,0.451,0.784,2.1,1.8,3,11.1,0.181,0.175,0.022,0.013,0.179,0.161,0.5,0.5,0,26,100.6,0.299,0.513,0.307,0.289,82,242.1,81.4,0.312,0.711,28.5,41.9,19.7,7.7,4.2,16.1,"PF","1"
"23","Josh Childress","ATL",2008,24,76,29.9,0.8,0.367,0.59,0.807,1.5,1.3,1.7,17.8,0.48,0.102,0.016,0.014,0.124,0.158,1.5,0,2.5,24.2,106.9,0.34,0.501,0.297,0.217,82,242.1,79.9,0.356,0.772,29.9,42.2,22,7.3,5.5,14.9,"SF","1"
"24","Jamal Crawford","ATL",2011,30,76,30.2,4.6,0.341,0.489,0.854,3.2,1.9,1.3,14.2,0.297,0.056,0.013,0.005,0.128,0.234,1.4,-2.7,0,27.4,106.1,0.269,0.495,0.234,0.211,82,240.6,78.4,0.352,0.779,30,39.3,22,6.1,4.2,13.6,"SG","1"
"25","Kirk Hinrich","ATL",2011,30,24,28.6,3.2,0.421,0.519,0.667,3.3,1.5,2.8,9.8,0.114,0.08,0.015,0.008,0.16,0.16,0.5,-0.9,0,27.4,106.1,0.269,0.495,0.234,0.211,82,240.6,78.4,0.352,0.779,30,39.3,22,6.1,4.2,13.6,"PG","1"
"26","Joe Johnson","ATL",2012,30,60,35.5,5.4,0.388,0.521,0.849,3.9,1.9,1.3,18.4,0.2,0.092,0.012,0.005,0.103,0.249,2.1,-1.4,2.2,27.9,104.9,0.259,0.48,0.239,0.186,66,244.9,81,0.37,0.74,31.3,41.2,22.4,8.1,4.6,14,"SG","0"
"27","Kirk Hinrich","ATL",2012,31,48,25.8,2.8,0.346,0.493,0.781,2.8,1.2,2.1,9.2,0.108,0.085,0.016,0.007,0.158,0.139,1.4,-0.1,0.2,27.9,104.9,0.259,0.48,0.239,0.186,66,244.9,81,0.37,0.74,31.3,41.2,22.4,8.1,4.6,14,"SG","0"
"28","Josh Smith","ATL",2013,27,76,35.3,2.6,0.303,0.491,0.517,4.2,3,2.3,17.7,0.272,0.213,0.018,0.039,0.146,0.267,4.5,3.2,2.8,27.1,104.8,0.244,0.496,0.222,0.181,82,242.1,81,0.371,0.715,31.6,40.9,24.5,8.1,4.5,14.9,"PF","0"
"29","Devin Harris","ATL",2013,29,58,24.5,4,0.335,0.525,0.727,3.4,1.5,1.8,14.6,0.348,0.087,0.023,0.007,0.147,0.195,1.5,-0.9,0.7,27.1,104.8,0.244,0.496,0.222,0.181,82,242.1,81,0.371,0.715,31.6,40.9,24.5,8.1,4.5,14.9,"SG","0"
"30","Lou Williams","ATL",2014,27,60,24.1,3.9,0.342,0.48,0.849,3.5,1.5,1.1,14.2,0.363,0.091,0.016,0.002,0.139,0.209,1,-2.1,0.1,27.5,105.9,0.266,0.51,0.21,0.196,82,241.8,81.6,0.363,0.781,31.3,40,24.9,8.3,4,15.3,"PG","1"
