"","Team","Rk.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","3PAr","TS%","eFG%","TOV%","ORB%","FT/FGA","DRB%","Arena","Attend.","Attend./G","Rk.y","G","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","i"
"1","Atlanta Hawks*","7","26.1","50","32","49","33","2.91","-0.09","2.83","105.2","102.3","98.9",".376",".011",".523",".461","17.1","36.9",".291","65.6","Omni Coliseum","","",19,82,241.2,39.8,85.7,0.464,0.2,0.9,0.173,39.6,84.8,0.467,24.9,32.3,0.771,16.7,29.3,46,23.3,9.5,6.6,18.2,28,104.5,1980
"2","Boston Celtics*","1","27.3","61","21","60","22","7.79","-0.42","7.37","109.4","101.9","102.6",".332",".057",".550",".475","16.5","34.8",".234","67.8","Boston Garden","596,349","13,724",5,82,242.4,44.1,90.1,0.49,2,5.1,0.384,42.1,84.9,0.496,23.3,29.9,0.779,15,30,44.9,26.8,9.9,3.8,18.8,24.1,113.5,1980
"3","Chicago Bulls","17","25.9","30","52","34","48","-2.71","0.08","-2.63","104.3","107.0","101.8",".373",".040",".545",".500","15.7","32.2",".251","68.0","Chicago Stadium","","",17,82,242.7,41,84.7,0.484,0.9,3.4,0.255,40.1,81.3,0.494,24.6,31.6,0.779,13.6,30.1,43.7,26.2,8.6,4.8,20.5,26.2,107.5,1980
"4","Cleveland Cavaliers","9","27.4","37","45","42","40","0.34","0.09","0.43","106.7","106.4","105.6",".274",".023",".519",".505","16.3","33.1",".216","65.9","Coliseum at Richfield","","",3,82,243,46.5,98.1,0.474,0.4,2.3,0.193,46,95.8,0.481,20.8,26.9,0.772,15.9,29,45,25.7,9.3,4.2,16.7,23.6,114.1,1980
"5","Denver Nuggets","20","27.1","30","52","30","52","-4.41","0.20","-4.22","103.4","107.6","103.9",".340",".034",".517",".497","14.4","33.6",".224","67.8","McNichols Sports Arena","","",14,82,241.8,42.2,91.1,0.463,1,3.1,0.325,41.2,88,0.468,22.8,31,0.737,16,30.8,46.8,25.4,9.1,4.9,18.7,23.4,108.3,1980
"6","Detroit Pistons","22","24.7","16","66","22","60","-8.24","0.67","-7.57","101.2","108.8","107.1",".283",".029",".523",".499","15.2","32.3",".239","64.7","Pontiac Silverdome","","",11,82,241.2,44.4,92.6,0.48,0.7,2.7,0.26,43.7,90,0.486,19.4,26.2,0.74,15,29.5,44.4,23.8,9.5,6.9,21.2,25.2,108.9,1980
"7","Golden State Warriors","19","26.3","24","58","29","53","-4.39","0.20","-4.20","102.0","106.3","100.5",".262",".017",".520",".498","15.5","31.1",".273","69.8","Oakland-Alameda County Coliseum Arena","","",20,82,242.4,43,89.2,0.482,0.3,1.5,0.223,42.7,87.8,0.486,17.2,23.3,0.738,14.1,29.7,43.8,24.7,9.5,4.1,18.2,25.4,103.6,1980
"8","Houston Rockets*","10","27.3","41","41","41","41","0.17","0.10","0.27","108.1","108.0","101.2",".310",".051",".533",".499","16.1","37.6",".230","63.2","The Summit","","",8,82,243,43.9,91.4,0.48,1.3,4.6,0.274,42.6,86.8,0.491,21.7,28.4,0.766,17,27,44,26.2,9.5,4.5,19.1,23.5,110.8,1980
"9","Indiana Pacers","12","25.3","37","45","39","43","-0.70","0.16","-0.54","105.5","106.2","104.4",".303",".041",".523",".493","17.0","35.4",".230","62.5","Market Square Arena","","",6,82,242.1,44.4,93.8,0.473,1.1,3.8,0.28,43.3,89.9,0.481,21.4,28.5,0.751,17,28.4,45.4,26.2,11,6.5,18.5,24.1,111.2,1980
"10","Kansas City Kings*","8","25.5","47","35","49","33","3.13","-0.32","2.82","104.0","101.0","103.2",".300",".015",".522",".479","17.9","31.0",".273","68.1","Kemper Arena","","",15,82,241.5,43.7,91.3,0.478,0.3,1.4,0.219,43.4,89.9,0.482,20.4,27.4,0.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26,108,1980
"11","League Average","","26.5","","","41","41","0.00","0.00","0.00","105.3","105.3","103.1",".307",".031",".531",".486","15.5","33.5",".235","66.5","","589,616","13,724",NA,82,241.8,43.6,90.6,0.481,0.8,2.8,0.28,42.9,87.9,0.488,21.3,27.8,0.764,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3,1980
